No,Destination,Ratings,Tags,Description,Accommodation,Shopping,Transportation,AdventureLevel,Cuisine,Tourist_Attraction_1,Tourist_Attraction_2,Tourist_Attraction_3,Spiritual,Nature,Crowded,Nightlife,Average Budget,Latitude,Longitude
52,Khajuraho,4.6," ""The Architectural Masterpiece"" "," Khajuraho, a UNESCO World Heritage Site located in Madhya Pradesh, is known around the world for its stunning temples adorned by erotic and sensuous carvings. A small town located in the Bundelkhand region, Khajuraho is a brilliant example of Indian architecture and its culture back in the medieval period. The architecture of these Hindu and Jain temples depict the erotic forms of love, the carvings on the walls display passion in the most sensuous yet aesthetic ways. Built between 950 to 1050 AD the sheer confrontational nature of these carvings shows a stark paradox with the conventional Indian ideals about eroticism, leaving everybody spellbound.",Hotels,Local Markets,Auto Rickshaws,Medium-Nice,North Indian Cuisine,Khajuraho Group of Monuments,Kandariya Mahadeva Temple,Duladeo Temple,4,3,2,1,3724,24.8318,79.9199
53,Khandala,3.8," ""Misty Mountains"" "," Khandala is a popular hill station in Maharashtra, perched on the foothills of Sahyadri in the Western Ghats. Khandala provides for a perfect weekend respite for the Mumbai population, with its scenic valleys, grassy hills, serene lakes and misty waterfalls.",Hotels,Local Shops,Car,Medium-Nice,Maharashtrian Cuisine,Lohagad Fort,Bhaja Caves,Kune Falls,3,5,3,1,3724,18.7528,73.405
54,Kochi,4.2," ""Queen of Arabian Sea"" "," Lying on the Malabar coast in the southwest of India, Kochi or Cochin is a port city with a trading history that dates back to at least 600 years. Known popularly as the Queen of the Arabian Sea, the city is also Kerala's financial, commercial, and industrial capital. Exuding an old-world charm with diverse linguistics, such as the Jews, Konkinis, Gujaratis, and ethnic communities like the anglo-indians, Kochi has an indiscriminate mix of backwaters, beaches, islands, coasts, and plain terrains.",Hotels,Markets,Auto Rickshaws,Medium-Great,Kerala Cuisine,Chinese Fishing Nets,Mattancherry Palace,Fort Kochi,3,4,4,3,3724,9.9312,76.2673
55,Kodaikanal,4.4," ""The Princess of Hill Stations"" "," Located in the state of Tamil Nadu, Kodaikanal is one of the most famous honeymoon destinations in India. A Lakeside resort town of Tamil Nadu, Kodaikanal has a beautiful climate, mist-covered manicured cliffs and waterfall that come together to create the ideal setting for a perfect getaway. Kodaikanal means 'the gift of the forests'.",Hotels,Local Shops,Car,Medium-Great,South Indian Cuisine,Kodaikanal Lake,Bryant Park,Coaker's Walk,3,5,3,2,3724,10.2381,77.4892
56,Kolkata,4.3," ""The city of Joy"" "," Kolkata, India's second biggest city, is a perpetually ongoing festival of human existence, concurrently luxurious and squalid, refined and frantic, pointedly futuristic, while beautifully in decay. A vibrant 350-year-old metropolis located on India's Eastern Coast, the capital of West Bengal thrives on contradictions and imposing spectacles; nothing is commonplace in this city. Famously known as the City of Joy, Kolkata is, in every sense, the artistic, cultural and intellectual capital of the country. Kolkata's streets are vivid, hectic, chaotic, and yet, brimming with life and creativity. Driven by the indomitable spirit of the self-made middle class, the city has created a beautiful juxtaposition of the old colonial-era charm with the nascent upcoming hipster culture that thrives amongst the city's millennial residents.",Hotels,Malls,Metro,Medium-Great,Bengali Cuisine,Victoria Memorial,Howrah Bridge,Dakshineswar Kali Temple,3,3,5,4,3724,22.5726,88.3639
57,Kovalam,4.2," ""Beaches, Ayurveda and Shopping"" "," Famous for its resorts and ayurvedic massage centres, Kovalam is a coastal town located around 13 km from Thiruvananthapuram in Kerala. The largest beach in Kovalam is the lighthouse beach that features a 30-metre tall lighthouse. The other two adjacent beaches are Samudra beach and Hawa beach. All these three beaches are crescent-shaped shallow water and low tidal beaches.",Resorts,Markets,Auto Rickshaws,Medium-Great,Kerala Cuisine,Lighthouse Beach,Hawa Beach,Samudra Beach,2,5,4,3,3724,8.4021,76.9782
58,Lavasa,3.9," ""India's first planned hill city"" "," Known as India's newest hill station, the Lavasa Corporation is constructing this private city. The city is a beautiful project, stylistically based on the Italian town Portofino. Spreading across 7 hills, covering an area of 25000 acres, Lavasa is a perfect blend of beauty and infrastructure.",Hotels,Local Shops,Car,Medium-Maharashtrian Cuisine,Lavasa,Lakeside Promenade,Bamboosa,Lavasa International Convention Centre,2,4,2,2,3724,18.4088,73.506
59,Leh Ladakh,4.6," ""India's Own Moonland"" "," Ladakh is a union territory in the Kashmir region of India. Formerly falling in the state of Jammu & Kashmir, Ladakh was administered a union territory on 31st October 2019. Extending from the Siachen Glacier to the main Great Himalayas, Ladakh is a land like no other. Dominated by dramatic landscapes, Ladakh is known as the world's coldest desert.",Hotels,Local Markets,Car,High-Tibetan Cuisine,Leh Ladakh,Pangong Lake,Nubra Valley,Hemis Monastery,4,5,2,1,3724,34.1526,77.577
60,Lonavala,4.1," ""Misty Weekend Getaway"" "," Situated in the Sahyadri range of the Western Ghats close to Pune and Mumbai, Lonavala is the most visited hill station in Maharashtra and the place to be during monsoons. With lots of waterfalls, lakes and hills around, it is a popular destination for camping, trekking and other adventure sports.",Hotels,Local Markets,Car,Medium-Nice,Maharashtrian Cuisine,Lion's Point,Bhushi Dam,Karla Caves,2,5,3,1,3724,18.7539,73.405
61,Lucknow,4.1," ""The City of Nawabs and Kebabs"" "," The capital and the largest city of Uttar Pradesh, Lucknow, situated on the banks of river Gomti, welcomes you with a heartwarming note of ""Muskuraiyein, kyunki aap Lucknow mein hai"". A city of kebabs and nawabs, of architecture and history, of literature and culture – that is Lucknow in a nutshell for you. From a slice of rich colonial history to modernized museums, this artistic hub of Awadh region beautifully brings together the opulence of a glittering past and the simplicity of a modern city.",Hotels,Markets,Auto Rickshaws,Medium-Nice,North Indian Cuisine,Bara Imambara,Chota Imambara,Rumi Darwaza,4,3,4,3,3724,26.8467,80.9462
62,Madikeri,4.4," ""Karnataka's Coffee Capital"" "," Generally covered as a part of trips to Coorg, Madikeri is a hill town in Karnataka with vast coffee plantations, lush forests and misty hills, all culminating into a breathtaking view. Located in Kodagu District around 6 hours from Bengaluru, Madikeri is a perfect weekend getaway. There is no pollution, no noise to hurt your ears and the cool breeze that accompanies you throughout makes your trip memorable.",Resorts,Local Shops,Car,Medium-Nice,Kodava Cuisine,Raja's Seat,Abbey Falls,Madikeri Fort,3,5,3,1,3724,12.4244,75.7384
63,Madurai,4.1," ""The Lotus City"" "," Madurai, the cultural capital of Tamil Nadu, is one of the oldest continuously inhabited cities of India. Ruled by Pandya kings for the longest time in its history, it is called as the 'Lotus City' as it was planned and built in the shape of a lotus. Madurai is known for Meenakshi Amman Temple, dedicated to the goddess Meenakshi with a sanctum for her consort, Sundareshwarar. ",Hotels,Local Markets,Auto Rickshaws,Medium-Great,Tamil Cuisine,Meenakshi Amman Temple,Thirumalai Nayakkar Palace,Alagar Koyil,4,3,3,2,3724,9.9252,78.1198
64,Mahabaleshwar,4.3," ""The land of Strawberries"" "," Mahabaleshwar is a hill station located in the Western Ghats, in Satara district of Maharashtra. Apart from its strawberries, Mahabaleshwar is also well known for its numerous rivers, magnificent cascades and majestic peaks. It is among the most sought after weekend getaways from Pune & Mumbai, located about 120km south-west of Pune and 285km from Mumbai.",Hotels,Local Shops,Car,Medium-Maharashtrian Cuisine,Mahabaleshwar,Mapro Garden,Lingmala Waterfall,Pratapgad Fort,3,5,3,1,3724,17.6868,73.7314
65,Manali,4.5," ""Lover's Paradise - India's Honeymoon capital"" "," With spectacular valleys, breathtaking views, snowcapped mountains, and lush forests of oak, deodar, and pine, Manali is a magical hill station at the northern end of Kullu valley in Himachal Pradesh. Gifted to the world by the mighty Himalayas, it is known to be one of the most popular destinations for Honeymooners. Manali offers magnificent views of the Pir Panjal and the Dhauladhar ranges, covered in a thick blanket of snow for most of the year.",Hotels,Local Markets,Car,High-Nice,North Indian Cuisine,Solang Valley,Hadimba Devi Temple,Manu Temple,3,5,3,2,3724,32.2396,77.1887
66,Matheran,4.3," ""Cutest little hill-station of India"" "," Nestled amidst the Sahyadri range on the Western Ghats, Matheran is a cosy little hill station that stands at an elevation of 2600 feet above sea level, and is just 100 kilometres away from Mumbai, making it the perfect weekend getaway. With its name literally translating to “overhead forest”, Matheran is the smallest hill station in India but is extremely popular in terms of tourists looking for a short trip amid spectacular vistas and serenity.",Hotels,Local Shops,Toy Train,Medium-Maharashtrian Cuisine,Matheran,Panorama Point,Louisa Point,Elephant's Head Point,2,5,2,1,3724,18.9847,73.267
67,Mathura,4.3," ""The hometown of Lord Krishna"" "," One of Hinduism's seven sacred cities, Mathura is the birthplace of the very beloved Lord Krishna. Located in the state of Uttar Pradesh, Mathura and Vrindavan are often considered twin cities (located only 10km away from each other). Mathura is a small town dotted with temples from various ages and attracts a horde of pilgrims from all over the world. ",Hotels,Local Markets,Auto Rickshaws,Medium-Nice,North Indian Cuisine,Shri Krishna Janmabhoomi,Kusum Sarovar,Gita Mandir,5,3,3,2,3724,27.1767,77.969
68,Mcleodganj,4.4," ""Land of His Holiness the Dalai Lama - Little Lhasa"" "," Mcleodganj, Himachal Pradesh is one of the most popular tourist destinations for it's tibetan culture, nature treks, greenery, ancient temples & monasteries, and british influence. Located in the Kangra district, it's on the outskirts of Dharamshala.Famous for being home to the Tibetan spiritual leader Dalai Lama, Mcleod Ganj is culturally blessed by a prominent Tibetan influence owing to the major settlement of Tibetans here who fled their homeland. It is also worth noting that Tibet's exiled government is also based solely in Mcleodganj which is also why it's called the Little Lhasa.",Hotels,Local Markets,Car,High-Nice,Tibetan Cuisine,Triund Hill,Namgyal Monastery,Bhagsu Waterfall,4,5,3,2,3678,32.2426,76.3214
69,Mount Abu,4.3," ""A beautiful hill station in Rajasthan"" "," The only hill station of Rajasthan, Mount Abu is located in the Aravali range. The most important attraction, however, are undoubtedly the Dilwara temples, which is one of the most stunning pieces of architecture in the country.  Travellers can enjoy calm and relaxed boating in Nakki Lake, and a view of the sunset from the vista points. The restaurants and eateries around the lake are great places to eat local food and chill. The highest peak of the Aravali Range - Guru Shikhar also lies in Mt. Abu. Mount Abu Forest Sanctuary with an abundance of flora and fauna is also a highlight.",Hotels,Local Markets,Car,Medium-Rajasthani Cuisine,Mount Abu,Dilwara Temples,Nakki Lake,Guru Shikhar,3,5,2,1,3724,24.5925,72.7156
70,Mumbai,4.2," ""The City of Dreams"" "," Mumbai, the capital city of the Indian state of Maharashtra, is a spectacular paradox of chaos and hope, glamour and squalor, modernity and tradition. Famously known as the City of Dreams, Mumbai – formerly known as Bombay - Mumbai is a beautifully blended melting pot of cultures and lifestyles.",Hotels,Malls,Metro,High-Great,Maharashtrian Cuisine,Gateway of India,Marine Drive,Elephanta Caves,3,4,5,4,3724,19.076,72.8777
71,Munnar,4.5," ""Kashmir of South India"" "," Famous for the tea estates, greenery, winding roads, blanket of mist, and viewpoints, Munnar is a hill station in Kerala, located in the Idukki district. Lying in the Western Ghats at 1600 metres, it is one of the most sought after and visited travel destinations globally, especially popular amongst honeymooners.",Resorts,Local Shops,Car,High-South Indian Cuisine,Munnar,Tea Gardens,Eravikulam National Park,Attukal Waterfalls,3,5,3,1,3782,10.0889,77.0595
72,Mussoorie,4.2," ""The queen of hill-stations"" "," Mussoorie is one of the most popular hill stations located at a distance of 290 km from Delhi in the Dehradun district of Uttarakhand. With a backdrop of the Shivalik range of Himalayas and doon valley, Mussoorie, also known as Queen of The Hills, stands at an altitude of 7000 feet above sea level. With a cool and pleasant climate throughout the year, Mussoorie was once the British summer capital.",Hotels,Local Markets,Car,Medium-Nice,North Indian Cuisine,Kempty Falls,Gun Hill,Camel's Back Road,2,5,3,2,5783,30.4591,78.0661
73,Mysore,4.2," ""Home to the Mysore Maharajas"" "," Famously known as The City of Palaces, it wouldn’t be wrong to say that Mysore, currently Mysuru, is one of the most important places in the country regarding ancient reigns. It is replete with the history of its dazzling royal heritage, intricate architecture, its famed silk sarees, yoga, and sandalwood, to name just a few. Located in the foothills of the Chamundi Hills, Mysore is the third most populated city in Karnataka, and its rich heritage draws millions of tourists all year round. The highlight is the majestic Mysore Palace, a UNESCO World Heritage Site, which is a must-visit.",Hotels,Markets,Auto Rickshaws,Medium-Great,South Indian Cuisine,Mysore Palace,Chamundi Hills,Sri Chamarajendra Zoological Gardens,2,5,3,2,3724,12.2958,76.6394
74,Nahan,3.9,"""the Town of ponds."""," Away from the buzzing crowd of the city, Nahan is a perfect romantic getaway. Lying among the lofty Shivalik range overlooking lush green fields, dirt free roads and clean streets, this small hill station serves as an ideal holiday destination.",Hotels,Local Markets,Car,Medium-Nice,North Indian Cuisine,Rani Tal,Suketi Fossil Park,Jaitak Fort,2,4,2,1,3563,30.5593,77.2996
75,Nainital,4.3," ""City of Lakes"" "," Nainital is a charming hill station located at the foothills of the Kumaon ranges in Uttarakhand. Located close to Dehradun and Delhi, it is the most visited hill station in North India. Nainital is a perfect weekend getaway from Delhi and the nearby places.",Hotels,Local Markets,Car,Medium-Nice,North Indian Cuisine,Naini Lake,Snow View Point,Naina Devi Temple,2,5,3,2,3724,29.3805,79.463
76,Nashik,4," ""Of Wines and Vineyards"" "," Nasik is a religious Hindu city, host to the Kumbh Mela every 12 years. It also makes for a perfect wine tasting destination.",Hotels,Markets,Auto Rickshaws,Medium-Maharashtrian Cuisine,Nashik,Sula Vineyards,Someshwar Temple,Pandavleni Caves,3,4,4,2,3724,20.5937,78.9629
77,Ooty,4.3," ""Queen of the Nilgiris"" "," Nestled amidst Nilgiri hills, Ooty, also known as Udagamandalam, is a hill station in Tamil Nadu which serves as a top-rated tourist destination. Once regarded as the summer headquarters of the East India Company, the Queen of the hills is a picturesque getaway.",Hotels,Markets,Toy Train,Medium-South Indian Cuisine,Ooty,Ooty Lake,Doddabetta Peak,Rose Garden,3,5,3,2,3724,11.4064,76.6932
78,Pachmarhi,4.4," ""Queen of the Satpuras"" "," Pachmarhi is the only hill station and is the highest point in Madhya Pradesh. Pachmarhi is also often known as ""Satpura ki Rani"" or the ""Queen of the Satpura Range"". Situated at an altitude of 1,067 metres, the picturesque town is a part of UNESCO Biosphere Reserve, home to leopards and bison.",Hotels,Local Shops,Car,Medium-Nice,Central Indian Cuisine,Dhoopgarh,Madhav National Park,Pandava Caves,2,5,2,1,2672,22.4674,78.4318
79,Pondicherry,4.1," ""The French Riviera of the East"" "," Pondicherry, officially known as Puducherry, and commonly referred to as just Pondy, is one of the seven Union Territories of India which is bounded by the southern state of Tamil Nadu. This former French colony is a perfect amalgamation of the traditional Indian sensibilities and French architecture, making it a dreamy escape that offers the best of both worlds.",Hotels,Markets,Auto Rickshaws,Medium-Great,French Cuisine,Promenade Beach,Auroville,Paradise Beach,4,4,3,2,3724,11.9139,79.8145
80,Poovar,4.3,"""'Lion of Kerala',"""," Poovar is a small rustic town situated 27 kms from Thiruvananthapuram with unspoilt, unexplored golden sand beaches and beautiful backwaters of Kerala.",Resorts,Local Shops,Boat,High-Kerala Cuisine,Poovar,Poovar Island,Kovalam Beach,Golden Sand Beach,2,5,3,1,3724,8.401,77.0659
81,Pune,4.1," ""Oxford of the East"" "," Pune is a bustling metropolis of Maharashtra, ranked number one in India in the ease of living. Often referred to as the Oxford of the East, it is a hub of diverse people and activities and is in rapidly growing into one of the top metropolitan cities in the country. Pune is a city that perfectly blends modernity with tradition sprinkled with colonial-era charm, and it deserves the title of being the cultural capital of Maharashtra.",Hotels,Malls,Auto Rickshaws,Medium-Great,Maharashtrian Cuisine,Shaniwar Wada,Aga Khan Palace,Sinhagad Fort,3,4,5,3,3724,18.5204,73.8567
82,Puri,4.3," ""Rath Yatra and the Beaches"" ", Puri in Odisha is one of the four must-visit pilgrimage sites for Hindus because of Jagannath Temple that forms the part of Char Dham in India. Puri is a beach city located on the coast of Bay of Bengal which is one of the favourites among people of West Bengal for a short trip.,Hotels,Markets,Auto Rickshaws,Medium-Great,Odia Cuisine,Jagannath Temple,Konark Sun Temple,Puri Beach,5,3,3,2,3724,19.8134,85.8315
83,Pushkar,4," ""The Only Dedicated Brahma Temple and the Mesmerising Cattle Fair"" "," Pushka is a small temple town located around 15 km from Ajmer in Rajasthan. A perfect choice for a weekend getaway from Jaipur, Pushkar has an array of cafes and hostels for a backpacking trip. Every November, Pushkar is host to the Pushkar Mela, one of the biggest camel fairs in the country.",Hotels,Local Markets,Auto Rickshaws,High-Rajasthani Cuisine,Pushkar,Brahma Temple,Pushkar Lake,Savitri Temple,5,3,4,3,3724,26.4875,74.55
84,Rameshwaram,4.1," ""The Bridge on the Indian Ocean"" "," Rameshwaram is located on a beautiful island in the South Indian state of Tamil Nadu. It is separated by a small Pamban channel from Sri Lanka. According to Hindu mythology, this is the place where Lord Rama created a bridge across the sea to Sri Lanka.",Hotels,Local Markets,Auto Rickshaws,Medium-Tamil Cuisine,Rameshwaram,Ramanathaswamy Temple,Dhanushkodi,Agnee Theertham,5,4,2,1,3724,9.2885,79.3129
85,Ranthambore,4.3," ""One of the best national parks of the country"" "," This is one of the best tiger reserves of the country, known to have ""friendly"" tigers and chances of sighting one here is reasonably better than many other tiger reserves of India. Along with this Ranthambore has one of the richest flora and fauna making it an absolutely must visit area",Resorts,Local Markets,Jeep Safari,High-Nice,Rajasthani Cuisine,Ranthambore National Park,Ranthambore Fort,Trinetra Ganesh Temple,2,5,2,1,3728,26.0167,76.65
86,Rishikesh,4.3," ""Yoga Capital of the World"" "," Located in the foothills of the Himalayas along the convergence of Ganga and Chandrabhaga River, Rishikesh is a small town in the Dehradun district, located close to Haridwar in Uttarakhand. Rishikesh (also called as Hrishikesh) is known for its adventure activities, ancient temples, popular cafes and as the ""Yoga Capital of the World"". Gateway to Garhwal Himalayas, Rishikesh is also a pilgrimage town and one of the holiest places for Hindus.",Hotels,Local Markets,Auto Rickshaws,High-Nice,North Indian Cuisine,Laxman Jhula,Triveni Ghat,The Beatles Ashram,4,5,3,2,3972,30.0869,78.2676
87,Shimla,4.3," ""The Hill-Station with Rich Colonial History"" "," Shimla is the capital of Himachal Pradesh and a popular hill-station among Indian families and honeymooners. Situated at the height of 2200m, it was the summer capital of British India. The hill station still retains its old-world charm with beautiful colonial architecture, pedestrian-friendly Mall Road and the ridge lined up with multiple shops, cafes and restaurants.",Hotels,Local Markets,Car,Medium-Nice,North Indian Cuisine,The Ridge,Jakhoo Temple,Christ Church,3,5,3,3,2748,31.1048,77.1734
88,Shimoga (Shivamogga),4.4," ""A Backpacker's Paradise"" "," With nature in its full bloom, the town of Shimoga has been home to several great dynasties and kingdoms. Packed with several marvels of nature in the form of picturesque landscape, gorgeous waterfalls, mystical temples and lush green surroundings, its raw beauty will leave you absolutely enchanted. The main city of Shimoga District derives its name from the words 'Shiv-Mukha' implying 'Face of Lord Shiva'.",Hotels,Local Markets,Bus,Medium-South Indian Cuisine,Shimoga (Shivamogga),Jog Falls,Sakrebailu Elephant Camp,Koodli,2,5,1,1,2671,13.9298,75.5681
89,Shirdi,4.4," ""The land of Sai Baba"" "," Located at a distance of 122 Km from Nasik in the Ahmednagar district of Maharashtra, Shirdi is the home of Sai Baba. It is believed that Sai Baba arrived at Shirdi in 1858 and spent 60 years of his life here until he attained salvation in 1918. Sai Baba is popularly known as the 'child of God', as he always spread the message of universal brotherhood.",Hotels,Local Shops,Auto Rickshaws,Medium-Nice,Maharashtrian Cuisine,Sai Baba Samadhi Mandir,Shani Shingnapur,Trikuteshwar Temple,5,3,2,1,3724,19.7515,74.4783
90,Srinagar,4.5," ""The Paradise on Earth"" "," Famously known as 'Heaven on Earth, Srinagar is located in the union territory of Jammu & Kashmir, on the banks of river Jhelum. Srinagar is known for the stationary houseboats and gondola-type rowboats- Shikaras on Dal Lake. Adorned with tranquil Dal Lake & Nigeen Lake, Srinagar is the dream destination for honeymoon and family holidays.",Houseboats,Local Markets,Shikara,High-Kashmiri Cuisine,Srinagar,Dal Lake,Shalimar Bagh,Nishat Bagh,4,5,3,2,3679,34.0836,74.7973
91,Thanjavur,4.4," ""City of Temples"" "," Also known as Tanjore or the city of temples, Thanjavur has a lot of cultural value and is known for its famous Tanjore paintings, antiques and handicrafts, textiles and saris , its Carnatic music and musical instruments and of course the temples.",Hotels,Local Markets,Auto Rickshaws,Medium-Tamil Cuisine,Thanjavur,Brihadeshwara Temple,Thanjavur Palace,Saraswathi Mahal Library,4,3,3,2,3724,10.786,79.1378
92,Tirupati,4.5," ""Abode of Lord Venkateswara Swamy"" "," Situated in the Chittoor district of Andhra Pradesh, Tirupati is known for Lord Venkateshwara Temple, one of the most visited pilgrimage centers in the world. It is also one of the world's richest temples known by different names - Tirumala Temple, Tirupati Temple, and Tirupati Balaji Temple. Tirumala is one of the seven hills in Tirupati, where the main temple is located. The temple is believed to be where Lord Venkateshwara took the form of an idol and is home to the deity Govinda. Tirupati is one of India's oldest cities and is mentioned in many ancient Vedas and Puranas.",Hotels,Local Markets,Auto Rickshaws,Medium-Great,South Indian Cuisine,Tirumala Venkateswara Temple,Akasa Ganga,Kapila Theertham,4,3,3,2,5762,13.6288,79.4192
93,Udaipur,4.4," ""The city of Lakes"" "," Udaipur, also known as the City of Lakes, is one of the most visited tourist places in Rajasthan. Located around stunning water lakes and enveloped by the Aravalli Hills in all directions, Udaipur is known for its azure lakes, magnificent palaces, vibrant culture and delectable food. Along with being a must-visit destination, it is also one of the best places to experience luxury in India. ",Hotels,Markets,Auto Rickshaws,Medium-Rajasthani Cuisine,Udaipur,City Palace,Lake Pichola,Jag Mandir,4,5,3,2,3724,24.5854,73.7125
94,Ujjain,4.4," ""The Home of Mahakaleshwara"" "," Ujjain, considered to be one of the holiest cities of India, is an ancient city situated on the eastern bank of the Shipra River in the Malwa region of Madhya Pradesh. Ujjain is one of the four sites for the Kumbh Mela, the largest peace-time gathering on the planet that attracts 100 million people to the festival.",Hotels,Local Markets,Auto Rickshaws,Medium-Nice,Madhya Pradesh Cuisine,Mahakaleshwar Jyotirlinga,Kal Bhairav Temple,Sandipani Ashram,5,3,2,1,4683,23.2599,77.4126
95,Vaishno Devi,4.4," ""The Holy Caves"" "," Vaishno Devi is a temple town that's home to the famous Vaishno Devi Mandir. Located in Trikuta hills, 13 kms from Katra (in the union territory of Jammu and Kashmir); this renowned shrine allures millions of devotees from all over the world.  Popularly known as Mata Rani, Vaishnavi and Trikuta, Vaishno Devi is a manifestation of the Hindu Goddess Durga. It is believed that during the pooja and aarti, Goddesses arrive at the Holy cave to pay their respect to Mata Rani. Devotees believe the goddess herself calls the devotees to reach here.",Pilgrim Accommodations,Local Markets,Auto Rickshaws,Medium-Jammu Cuisine,Vaishno Devi,Vaishno Devi Temple,Bhairon Temple,Ardhkuwari Cave,5,3,2,1,3724,33.5248,74.8367
96,Varanasi,4.5," ""The Spiritual Capital of India"" "," World's oldest living city, Varanasi - also known as Kashi (City of Life) and Benaras, is the spiritual capital of India. It is one of Hinduism's seven holy cities. The old city of Varanasi lies along the western banks of the Ganges, spread across a labyrinth of narrow galis. Be prepared to walk on foot and encounter some holy cows! Temples at almost every turn engulf Varanasi but the Kashi Vishwanath Temple is the most visited and the oldest of the lot. Benaras is known as the city of Lord Shiva for a reason, and rightfully so.",Hotels,Local Markets,Boat,High-Nice,North Indian Cuisine,Kashi Vishwanath Temple,Ganga Aarti at Dashashwamedh Ghat,Sarnath,5,3,4,4,3724,25.3176,82.9739
97,Varkala,4.5," ""The hidden treasure of Kerala"" "," Varkala is a coastal town in the southern part of Kerala known for the unique 15m high 'Northern Cliff' adjacent to the Arabian Sea. It is popular for its hippie culture, shacks on the cliff serving great seafood and playing global music and the samadhi of Kerala's saint Sree Narayana Guru. Varkala is also known for Jardana Swami Temple, also known as Dakshin Kashi.",Resorts,Local Shops,Auto Rickshaws,Medium-Kerala Cuisine,Varkala,Varkala Beach,Janardanaswamy Temple,Sivagiri Mutt,2,5,3,2,3724,8.735,76.7038
98,Visakhapatnam,4.4," ""A gem of South India"" "," Visakhapatnam, also commonly known as Vizag, is one of the oldest port cities in the country. Situated in the heart of Andhra Pradesh, Vizag was announced as the state capital of Andhra Pradesh on January 31, 2023. The city is known for its picturesque beaches and serene landscape, as well as a rich cultural past. The port of Visakhapatnam is renowned for being home to the oldest shipyard in all of India. ",Hotels,Markets,Metro,Medium-Great,Andhra Cuisine,RK Beach,Kailasagiri,Borra Caves,3,5,4,2,1277,17.6868,83.2185
99,Vrindavan,4.3," ""Lord Krishna's childhood abode"" "," One of the oldest cities on the banks of Yamuna, Vrindavan is considered to be one of the most important places of pilgrimage for the devotees of Krishna. It is said that Lord Krishna had spent his childhood in Vrindavan. The name of the city has been derived from Vrinda (meaning basil) and van (meaning grove) which perhaps refer to the two small groves at Nidhivan and Seva Kunj. Since Vrindavan is considered to be a sacred place, a large number of people come here to abandon their worldly life.",Hotels,Local Markets,Auto Rickshaws,Medium-Nice,North Indian Cuisine,Banke Bihari Temple,ISKCON Temple,Govind Dev Temple,5,3,3,2,4673,27.5554,77.694
100,Wayanad,4.3," ""Nature's Abode"" "," Replete with waterfalls, historical caves, comfortable resorts and homestays, Wayanad in Kerala is famous for its spice plantations and wildlife. Walking through the sprawling spice plantations, trekking to the pre-historic caves and experiencing a resort holiday are one of the many things you can do to get a taste of Wayanad.",Resorts,Local Shops,Car,High-Kerala Cuisine,Wayanad,Edakkal Caves,Soochipara Falls,Chembra Peak,3,5,2,1,3724,11.6859,76.1376
